time-step,RES1,RES2
01.01.2023 00:00,0.0,0.0
01.01.2023 00:15,0.0,0.0
01.01.2023 00:30,0.0,0.0
01.01.2023 00:45,0.0,0.0
01.01.2023 01:00,0.0,0.0
01.01.2023 01:15,0.0,0.0
01.01.2023 01:30,0.0,0.0
01.01.2023 01:45,0.0,0.0
01.01.2023 02:00,0.0,0.0
01.01.2023 02:15,0.0,0.0
01.01.2023 02:30,0.0,0.0
01.01.2023 02:45,0.0,0.0
01.01.2023 03:00,0.0,0.0
01.01.2023 03:15,0.0,0.0
01.01.2023 03:30,0.0,0.0
01.01.2023 03:45,0.0,0.0
01.01.2023 04:00,0.0,0.0
01.01.2023 04:15,0.0,0.0
01.01.2023 04:30,0.0,0.0
01.01.2023 04:45,0.0,0.0
01.01.2023 05:00,0.0,0.0
01.01.2023 05:15,0.0,0.0
01.01.2023 05:30,0.0,0.0
01.01.2023 05:45,0.0,0.0
01.01.2023 06:00,0.0,0.0
01.01.2023 06:15,0.0,0.0
01.01.2023 06:30,0.0,0.0
01.01.2023 06:45,0.0,0.0
01.01.2023 07:00,0.0,0.0
01.01.2023 07:15,0.0,0.0
01.01.2023 07:30,1.516015357294116e-07,1.3960472195346502e-07
01.01.2023 07:45,0.0,0.0
01.01.2023 08:00,0.0,0.0
01.01.2023 08:15,0.0,0.0
01.01.2023 08:30,0.0,0.0
01.01.2023 08:45,0.0,0.0
01.01.2023 09:00,0.0,0.0
01.01.2023 09:15,0.0,0.0
01.01.2023 09:30,0.0,0.0
01.01.2023 09:45,0.0,0.0
01.01.2023 10:00,0.0,0.0
01.01.2023 10:15,0.0,0.0
01.01.2023 10:30,0.0,0.0
01.01.2023 10:45,0.0,0.0
01.01.2023 11:00,1.7606633832841934,2.227999960338534
01.01.2023 11:15,0.0,0.0
01.01.2023 11:30,0.0,0.0
01.01.2023 11:45,1.988084843756856,2.515786376421839
01.01.2023 12:00,1.2703851357407514,1.324903042264242
01.01.2023 12:15,0.886218886379144,0.441526476014873
01.01.2023 12:30,1.0189245516696879,0.7758297317020774
01.01.2023 12:45,1.3084769770544518,1.1226696241312373
01.01.2023 13:00,0.0,0.0
01.01.2023 13:15,2.934804571267023,3.715070259492032
01.01.2023 13:30,4.2446537207347355,4.331427988432972
01.01.2023 13:45,4.211321420772787,4.297078970228109
01.01.2023 14:00,4.599277849814683,4.611750762810345
01.01.2023 14:15,4.250851956481865,3.953585671856554
01.01.2023 14:30,4.038061761174288,4.40388687774827
01.01.2023 14:45,1.156092128823926,0.6178209249749365
01.01.2023 15:00,1.1678891274171657,0.312162536791136
01.01.2023 15:15,0.62806522903137,0.44941346621509787
01.01.2023 15:30,0.34702440055652156,0.35185803544398553
01.01.2023 15:45,0.0,0.0
01.01.2023 16:00,0.0,0.0
01.01.2023 16:15,0.0,0.0
01.01.2023 16:30,0.0,0.0
01.01.2023 16:45,0.0,0.0
01.01.2023 17:00,0.0,0.0
01.01.2023 17:15,0.0,0.0
01.01.2023 17:30,0.0,0.0
01.01.2023 17:45,0.0,0.0
01.01.2023 18:00,0.0,0.0
01.01.2023 18:15,0.0,0.0
01.01.2023 18:30,0.0,0.0
01.01.2023 18:45,0.0,0.0
01.01.2023 19:00,0.0,0.0
01.01.2023 19:15,0.0,0.0
01.01.2023 19:30,0.0,0.0
01.01.2023 19:45,0.0,0.0
01.01.2023 20:00,0.0,0.0
01.01.2023 20:15,0.0,0.0
01.01.2023 20:30,0.0,0.0
01.01.2023 20:45,0.0,0.0
01.01.2023 21:00,0.0,0.0
01.01.2023 21:15,0.0,0.0
01.01.2023 21:30,0.0,0.0
01.01.2023 21:45,0.0,0.0
01.01.2023 22:00,0.0,0.0
01.01.2023 22:15,0.0,0.0
01.01.2023 22:30,0.0,0.0
01.01.2023 22:45,0.0,0.0
01.01.2023 23:00,0.0,0.0
01.01.2023 23:15,0.0,0.0
01.01.2023 23:30,0.0,0.0
01.01.2023 23:45,0.0,0.0
